,Date,Visitor Team,Visitor Pts,Home Team,Home Pts
0,Tue Oct 22 2019,New Orleans Pelicans,122,Toronto Raptors,130
1,Tue Oct 22 2019,Los Angeles Lakers,102,Los Angeles Clippers,112
2,Wed Oct 23 2019,Chicago Bulls,125,Charlotte Hornets,126
3,Wed Oct 23 2019,Detroit Pistons,119,Indiana Pacers,110
4,Wed Oct 23 2019,Cleveland Cavaliers,85,Orlando Magic,94
5,Wed Oct 23 2019,Minnesota Timberwolves,127,Brooklyn Nets,126
6,Wed Oct 23 2019,Memphis Grizzlies,101,Miami Heat,120
7,Wed Oct 23 2019,Boston Celtics,93,Philadelphia 76ers,107
8,Wed Oct 23 2019,Washington Wizards,100,Dallas Mavericks,108
9,Wed Oct 23 2019,New York Knicks,111,San Antonio Spurs,120
10,Wed Oct 23 2019,Oklahoma City Thunder,95,Utah Jazz,100
11,Wed Oct 23 2019,Sacramento Kings,95,Phoenix Suns,124
12,Wed Oct 23 2019,Denver Nuggets,108,Portland Trail Blazers,100
13,Thu Oct 24 2019,Atlanta Hawks,117,Detroit Pistons,100
14,Thu Oct 24 2019,Milwaukee Bucks,117,Houston Rockets,111
15,Thu Oct 24 2019,Los Angeles Clippers,141,Golden State Warriors,122
16,Fri Oct 25 2019,Toronto Raptors,106,Boston Celtics,112
17,Fri Oct 25 2019,Minnesota Timberwolves,121,Charlotte Hornets,99
18,Fri Oct 25 2019,New York Knicks,109,Brooklyn Nets,113
19,Fri Oct 25 2019,Chicago Bulls,110,Memphis Grizzlies,102
20,Fri Oct 25 2019,Dallas Mavericks,123,New Orleans Pelicans,116
21,Fri Oct 25 2019,Washington Wizards,97,Oklahoma City Thunder,85
22,Fri Oct 25 2019,Phoenix Suns,107,Denver Nuggets,108
23,Fri Oct 25 2019,Portland Trail Blazers,122,Sacramento Kings,112
24,Fri Oct 25 2019,Utah Jazz,86,Los Angeles Lakers,95
25,Sat Oct 26 2019,Miami Heat,131,Milwaukee Bucks,126
26,Sat Oct 26 2019,Philadelphia 76ers,117,Detroit Pistons,111
27,Sat Oct 26 2019,Orlando Magic,99,Atlanta Hawks,103
28,Sat Oct 26 2019,Boston Celtics,118,New York Knicks,95
29,Sat Oct 26 2019,Toronto Raptors,108,Chicago Bulls,84
30,Sat Oct 26 2019,Indiana Pacers,99,Cleveland Cavaliers,110
31,Sat Oct 26 2019,New Orleans Pelicans,123,Houston Rockets,126
32,Sat Oct 26 2019,Washington Wizards,122,San Antonio Spurs,124
33,Sat Oct 26 2019,Sacramento Kings,81,Utah Jazz,113
34,Sat Oct 26 2019,Los Angeles Clippers,122,Phoenix Suns,130
35,Sun Oct 27 2019,Golden State Warriors,92,Oklahoma City Thunder,120
36,Sun Oct 27 2019,Brooklyn Nets,133,Memphis Grizzlies,134
37,Sun Oct 27 2019,Portland Trail Blazers,121,Dallas Mavericks,119
38,Sun Oct 27 2019,Miami Heat,109,Minnesota Timberwolves,116
39,Sun Oct 27 2019,Charlotte Hornets,101,Los Angeles Lakers,120
40,Mon Oct 28 2019,Chicago Bulls,98,New York Knicks,105
41,Mon Oct 28 2019,Indiana Pacers,94,Detroit Pistons,96
42,Mon Oct 28 2019,Orlando Magic,95,Toronto Raptors,104
43,Mon Oct 28 2019,Philadelphia 76ers,105,Atlanta Hawks,103
44,Mon Oct 28 2019,Oklahoma City Thunder,112,Houston Rockets,116
45,Mon Oct 28 2019,Cleveland Cavaliers,112,Milwaukee Bucks,129
46,Mon Oct 28 2019,Golden State Warriors,134,New Orleans Pelicans,123
47,Mon Oct 28 2019,Portland Trail Blazers,110,San Antonio Spurs,113
48,Mon Oct 28 2019,Utah Jazz,96,Phoenix Suns,95
49,Mon Oct 28 2019,Denver Nuggets,101,Sacramento Kings,94
50,Mon Oct 28 2019,Charlotte Hornets,96,Los Angeles Clippers,111
51,Tue Oct 29 2019,Atlanta Hawks,97,Miami Heat,112
52,Tue Oct 29 2019,Dallas Mavericks,109,Denver Nuggets,106
53,Tue Oct 29 2019,Memphis Grizzlies,91,Los Angeles Lakers,120
54,Wed Oct 30 2019,Chicago Bulls,111,Cleveland Cavaliers,117
55,Wed Oct 30 2019,New York Knicks,83,Orlando Magic,95
56,Wed Oct 30 2019,Minnesota Timberwolves,95,Philadelphia 76ers,117
57,Wed Oct 30 2019,Milwaukee Bucks,105,Boston Celtics,116
58,Wed Oct 30 2019,Indiana Pacers,118,Brooklyn Nets,108
59,Wed Oct 30 2019,Detroit Pistons,113,Toronto Raptors,125
60,Wed Oct 30 2019,Portland Trail Blazers,102,Oklahoma City Thunder,99
61,Wed Oct 30 2019,Houston Rockets,159,Washington Wizards,158
62,Wed Oct 30 2019,Charlotte Hornets,118,Sacramento Kings,111
63,Wed Oct 30 2019,Los Angeles Clippers,96,Utah Jazz,110
64,Wed Oct 30 2019,Phoenix Suns,121,Golden State Warriors,110
65,Thu Oct 31 2019,Miami Heat,106,Atlanta Hawks,97
66,Thu Oct 31 2019,Denver Nuggets,107,New Orleans Pelicans,122
67,Thu Oct 31 2019,San Antonio Spurs,97,Los Angeles Clippers,103
68,Fri Nov 1 2019,Houston Rockets,116,Brooklyn Nets,123
69,Fri Nov 1 2019,Cleveland Cavaliers,95,Indiana Pacers,102
70,Fri Nov 1 2019,Milwaukee Bucks,123,Orlando Magic,91
71,Fri Nov 1 2019,New York Knicks,102,Boston Celtics,104
72,Fri Nov 1 2019,Detroit Pistons,106,Chicago Bulls,112
73,Fri Nov 1 2019,Los Angeles Lakers,119,Dallas Mavericks,110
74,Fri Nov 1 2019,Utah Jazz,101,Sacramento Kings,102
75,Fri Nov 1 2019,San Antonio Spurs,127,Golden State Warriors,110
76,Sat Nov 2 2019,New Orleans Pelicans,104,Oklahoma City Thunder,115
77,Sat Nov 2 2019,Brooklyn Nets,109,Detroit Pistons,113
78,Sat Nov 2 2019,Denver Nuggets,91,Orlando Magic,87
79,Sat Nov 2 2019,Phoenix Suns,114,Memphis Grizzlies,105
80,Sat Nov 2 2019,Toronto Raptors,105,Milwaukee Bucks,115
81,Sat Nov 2 2019,Minnesota Timberwolves,131,Washington Wizards,109
82,Sat Nov 2 2019,Charlotte Hornets,93,Golden State Warriors,87
83,Sat Nov 2 2019,Philadelphia 76ers,129,Portland Trail Blazers,128
84,Sun Nov 3 2019,Chicago Bulls,95,Indiana Pacers,108
85,Sun Nov 3 2019,Houston Rockets,100,Miami Heat,129
86,Sun Nov 3 2019,Sacramento Kings,113,New York Knicks,92
87,Sun Nov 3 2019,Los Angeles Lakers,103,San Antonio Spurs,96
88,Sun Nov 3 2019,Dallas Mavericks,131,Cleveland Cavaliers,111
89,Sun Nov 3 2019,Utah Jazz,94,Los Angeles Clippers,105
90,Mon Nov 4 2019,Detroit Pistons,99,Washington Wizards,115
91,Mon Nov 4 2019,New Orleans Pelicans,125,Brooklyn Nets,135
92,Mon Nov 4 2019,Houston Rockets,107,Memphis Grizzlies,100
93,Mon Nov 4 2019,Milwaukee Bucks,134,Minnesota Timberwolves,106
94,Mon Nov 4 2019,Philadelphia 76ers,109,Phoenix Suns,114
95,Mon Nov 4 2019,Portland Trail Blazers,118,Golden State Warriors,127
96,Tue Nov 5 2019,Indiana Pacers,120,Charlotte Hornets,122
97,Tue Nov 5 2019,Boston Celtics,119,Cleveland Cavaliers,113
98,Tue Nov 5 2019,San Antonio Spurs,100,Atlanta Hawks,108
99,Tue Nov 5 2019,Los Angeles Lakers,118,Chicago Bulls,112
100,Tue Nov 5 2019,Orlando Magic,94,Oklahoma City Thunder,102
101,Tue Nov 5 2019,Miami Heat,89,Denver Nuggets,109
102,Wed Nov 6 2019,New York Knicks,102,Detroit Pistons,122
103,Wed Nov 6 2019,Washington Wizards,106,Indiana Pacers,121
104,Wed Nov 6 2019,Chicago Bulls,113,Atlanta Hawks,93
105,Wed Nov 6 2019,Golden State Warriors,112,Houston Rockets,129
106,Wed Nov 6 2019,Sacramento Kings,120,Toronto Raptors,124
107,Wed Nov 6 2019,Minnesota Timberwolves,121,Memphis Grizzlies,137
108,Wed Nov 6 2019,Orlando Magic,106,Dallas Mavericks,107
109,Wed Nov 6 2019,Philadelphia 76ers,104,Utah Jazz,106
110,Wed Nov 6 2019,Milwaukee Bucks,129,Los Angeles Clippers,124
111,Thu Nov 7 2019,Boston Celtics,108,Charlotte Hornets,87
112,Thu Nov 7 2019,Oklahoma City Thunder,112,San Antonio Spurs,121
113,Thu Nov 7 2019,Miami Heat,124,Phoenix Suns,108
114,Thu Nov 7 2019,Portland Trail Blazers,101,Los Angeles Clippers,107
115,Fri Nov 8 2019,Detroit Pistons,106,Indiana Pacers,112
116,Fri Nov 8 2019,Memphis Grizzlies,86,Orlando Magic,118
117,Fri Nov 8 2019,Cleveland Cavaliers,113,Washington Wizards,100
118,Fri Nov 8 2019,Sacramento Kings,121,Atlanta Hawks,109
119,Fri Nov 8 2019,Golden State Warriors,119,Minnesota Timberwolves,125
120,Fri Nov 8 2019,Toronto Raptors,122,New Orleans Pelicans,104
121,Fri Nov 8 2019,New York Knicks,106,Dallas Mavericks,102
122,Fri Nov 8 2019,Philadelphia 76ers,97,Denver Nuggets,100
123,Fri Nov 8 2019,Milwaukee Bucks,100,Utah Jazz,103
124,Fri Nov 8 2019,Brooklyn Nets,119,Portland Trail Blazers,115
125,Fri Nov 8 2019,Miami Heat,80,Los Angeles Lakers,95
126,Sat Nov 9 2019,Boston Celtics,135,San Antonio Spurs,115
127,Sat Nov 9 2019,New Orleans Pelicans,115,Charlotte Hornets,110
128,Sat Nov 9 2019,Houston Rockets,117,Chicago Bulls,94
129,Sat Nov 9 2019,Dallas Mavericks,138,Memphis Grizzlies,122
130,Sat Nov 9 2019,Golden State Warriors,108,Oklahoma City Thunder,114
131,Sun Nov 10 2019,Denver Nuggets,100,Minnesota Timberwolves,98
132,Sun Nov 10 2019,Indiana Pacers,109,Orlando Magic,102
133,Sun Nov 10 2019,Charlotte Hornets,106,Philadelphia 76ers,114
134,Sun Nov 10 2019,Milwaukee Bucks,121,Oklahoma City Thunder,119
135,Sun Nov 10 2019,Cleveland Cavaliers,108,New York Knicks,87
136,Sun Nov 10 2019,Brooklyn Nets,112,Phoenix Suns,138
137,Sun Nov 10 2019,Atlanta Hawks,113,Portland Trail Blazers,124
138,Sun Nov 10 2019,Toronto Raptors,113,Los Angeles Lakers,104
139,Mon Nov 11 2019,Minnesota Timberwolves,120,Detroit Pistons,114
140,Mon Nov 11 2019,Dallas Mavericks,106,Boston Celtics,116
141,Mon Nov 11 2019,Memphis Grizzlies,113,San Antonio Spurs,109
142,Mon Nov 11 2019,Houston Rockets,122,New Orleans Pelicans,116
143,Mon Nov 11 2019,Utah Jazz,122,Golden State Warriors,108
144,Mon Nov 11 2019,Toronto Raptors,88,Los Angeles Clippers,98
145,Tue Nov 12 2019,Oklahoma City Thunder,85,Indiana Pacers,111
146,Tue Nov 12 2019,Cleveland Cavaliers,97,Philadelphia 76ers,98
147,Tue Nov 12 2019,Detroit Pistons,108,Miami Heat,117
148,Tue Nov 12 2019,New York Knicks,102,Chicago Bulls,120
149,Tue Nov 12 2019,Atlanta Hawks,125,Denver Nuggets,121
150,Tue Nov 12 2019,Los Angeles Lakers,123,Phoenix Suns,115
151,Tue Nov 12 2019,Brooklyn Nets,114,Utah Jazz,119
152,Tue Nov 12 2019,Portland Trail Blazers,99,Sacramento Kings,107
153,Wed Nov 13 2019,Memphis Grizzlies,119,Charlotte Hornets,117
154,Wed Nov 13 2019,Philadelphia 76ers,97,Orlando Magic,112
155,Wed Nov 13 2019,Washington Wizards,133,Boston Celtics,140
156,Wed Nov 13 2019,Los Angeles Clippers,93,Houston Rockets,102
157,Wed Nov 13 2019,San Antonio Spurs,114,Minnesota Timberwolves,129
158,Wed Nov 13 2019,Golden State Warriors,94,Los Angeles Lakers,120
159,Wed Nov 13 2019,Toronto Raptors,114,Portland Trail Blazers,106
160,Thu Nov 14 2019,Miami Heat,108,Cleveland Cavaliers,97
161,Thu Nov 14 2019,Chicago Bulls,115,Milwaukee Bucks,124
162,Thu Nov 14 2019,Los Angeles Clippers,127,New Orleans Pelicans,132
163,Thu Nov 14 2019,Dallas Mavericks,103,New York Knicks,106
164,Thu Nov 14 2019,Atlanta Hawks,112,Phoenix Suns,128
165,Thu Nov 14 2019,Brooklyn Nets,93,Denver Nuggets,101
166,Fri Nov 15 2019,Detroit Pistons,106,Charlotte Hornets,109
167,Fri Nov 15 2019,San Antonio Spurs,109,Orlando Magic,111
168,Fri Nov 15 2019,Indiana Pacers,102,Houston Rockets,111
169,Fri Nov 15 2019,Utah Jazz,106,Memphis Grizzlies,107
170,Fri Nov 15 2019,Washington Wizards,137,Minnesota Timberwolves,116
171,Fri Nov 15 2019,Philadelphia 76ers,119,Oklahoma City Thunder,127
172,Fri Nov 15 2019,Boston Celtics,105,Golden State Warriors,100
173,Fri Nov 15 2019,Sacramento Kings,97,Los Angeles Lakers,99
174,Sat Nov 16 2019,Brooklyn Nets,117,Chicago Bulls,111
175,Sat Nov 16 2019,Milwaukee Bucks,102,Indiana Pacers,83
176,Sat Nov 16 2019,Charlotte Hornets,103,New York Knicks,102
177,Sat Nov 16 2019,New Orleans Pelicans,94,Miami Heat,109
178,Sat Nov 16 2019,Houston Rockets,125,Minnesota Timberwolves,105
179,Sat Nov 16 2019,Toronto Raptors,102,Dallas Mavericks,110
180,Sat Nov 16 2019,Portland Trail Blazers,121,San Antonio Spurs,116
181,Sat Nov 16 2019,Atlanta Hawks,101,Los Angeles Clippers,150
182,Sun Nov 17 2019,Philadelphia 76ers,114,Cleveland Cavaliers,95
183,Sun Nov 17 2019,Boston Celtics,99,Sacramento Kings,100
184,Sun Nov 17 2019,Denver Nuggets,131,Memphis Grizzlies,114
185,Sun Nov 17 2019,Washington Wizards,121,Orlando Magic,125
186,Sun Nov 17 2019,Golden State Warriors,100,New Orleans Pelicans,108
187,Sun Nov 17 2019,Atlanta Hawks,101,Los Angeles Lakers,122
188,Mon Nov 18 2019,Cleveland Cavaliers,105,New York Knicks,123
189,Mon Nov 18 2019,Indiana Pacers,115,Brooklyn Nets,86
190,Mon Nov 18 2019,Charlotte Hornets,96,Toronto Raptors,132
191,Mon Nov 18 2019,Milwaukee Bucks,115,Chicago Bulls,101
192,Mon Nov 18 2019,Portland Trail Blazers,108,Houston Rockets,132
193,Mon Nov 18 2019,San Antonio Spurs,110,Dallas Mavericks,117
194,Mon Nov 18 2019,Boston Celtics,99,Phoenix Suns,85
195,Mon Nov 18 2019,Minnesota Timberwolves,112,Utah Jazz,102
196,Mon Nov 18 2019,Oklahoma City Thunder,88,Los Angeles Clippers,90
197,Tue Nov 19 2019,Golden State Warriors,114,Memphis Grizzlies,95
198,Tue Nov 19 2019,Portland Trail Blazers,104,New Orleans Pelicans,115
199,Tue Nov 19 2019,Phoenix Suns,116,Sacramento Kings,120
200,Tue Nov 19 2019,Oklahoma City Thunder,107,Los Angeles Lakers,112
201,Wed Nov 20 2019,New York Knicks,104,Philadelphia 76ers,109
202,Wed Nov 20 2019,San Antonio Spurs,132,Washington Wizards,138
203,Wed Nov 20 2019,Milwaukee Bucks,135,Atlanta Hawks,127
204,Wed Nov 20 2019,Charlotte Hornets,91,Brooklyn Nets,101
205,Wed Nov 20 2019,Golden State Warriors,94,Dallas Mavericks,142
206,Wed Nov 20 2019,Cleveland Cavaliers,100,Miami Heat,124
207,Wed Nov 20 2019,Orlando Magic,97,Toronto Raptors,113
208,Wed Nov 20 2019,Detroit Pistons,89,Chicago Bulls,109
209,Wed Nov 20 2019,Utah Jazz,103,Minnesota Timberwolves,95
210,Wed Nov 20 2019,Houston Rockets,95,Denver Nuggets,105
211,Wed Nov 20 2019,Boston Celtics,104,Los Angeles Clippers,107
212,Thu Nov 21 2019,Portland Trail Blazers,129,Milwaukee Bucks,137
213,Thu Nov 21 2019,New Orleans Pelicans,124,Phoenix Suns,121
214,Fri Nov 22 2019,Atlanta Hawks,103,Detroit Pistons,128
215,Fri Nov 22 2019,Charlotte Hornets,118,Washington Wizards,125
216,Fri Nov 22 2019,Sacramento Kings,97,Brooklyn Nets,116
217,Fri Nov 22 2019,Miami Heat,116,Chicago Bulls,108
218,Fri Nov 22 2019,Los Angeles Lakers,130,Oklahoma City Thunder,127
219,Fri Nov 22 2019,San Antonio Spurs,104,Philadelphia 76ers,115
220,Fri Nov 22 2019,Cleveland Cavaliers,101,Dallas Mavericks,143
221,Fri Nov 22 2019,Boston Celtics,92,Denver Nuggets,96
222,Fri Nov 22 2019,Golden State Warriors,109,Utah Jazz,113
223,Fri Nov 22 2019,Houston Rockets,119,Los Angeles Clippers,122
224,Sat Nov 23 2019,Phoenix Suns,100,Minnesota Timberwolves,98
225,Sat Nov 23 2019,Chicago Bulls,116,Charlotte Hornets,115
226,Sat Nov 23 2019,Orlando Magic,106,Indiana Pacers,111
227,Sat Nov 23 2019,Toronto Raptors,119,Atlanta Hawks,116
228,Sat Nov 23 2019,San Antonio Spurs,111,New York Knicks,104
229,Sat Nov 23 2019,Miami Heat,86,Philadelphia 76ers,113
230,Sat Nov 23 2019,Portland Trail Blazers,104,Cleveland Cavaliers,110
231,Sat Nov 23 2019,Los Angeles Lakers,109,Memphis Grizzlies,108
232,Sat Nov 23 2019,Detroit Pistons,90,Milwaukee Bucks,104
233,Sat Nov 23 2019,New Orleans Pelicans,120,Utah Jazz,128
234,Sun Nov 24 2019,Dallas Mavericks,137,Houston Rockets,123
235,Sun Nov 24 2019,Brooklyn Nets,103,New York Knicks,101
236,Sun Nov 24 2019,Sacramento Kings,113,Washington Wizards,106
237,Sun Nov 24 2019,Phoenix Suns,104,Denver Nuggets,116
238,Sun Nov 24 2019,New Orleans Pelicans,109,Los Angeles Clippers,134
239,Mon Nov 25 2019,Brooklyn Nets,108,Cleveland Cavaliers,106
240,Mon Nov 25 2019,Orlando Magic,88,Detroit Pistons,103
241,Mon Nov 25 2019,Memphis Grizzlies,114,Indiana Pacers,126
242,Mon Nov 25 2019,Minnesota Timberwolves,125,Atlanta Hawks,113
243,Mon Nov 25 2019,Sacramento Kings,102,Boston Celtics,103
244,Mon Nov 25 2019,Charlotte Hornets,100,Miami Heat,117
245,Mon Nov 25 2019,Philadelphia 76ers,96,Toronto Raptors,101
246,Mon Nov 25 2019,Portland Trail Blazers,117,Chicago Bulls,94
247,Mon Nov 25 2019,Utah Jazz,118,Milwaukee Bucks,122
248,Mon Nov 25 2019,Los Angeles Lakers,114,San Antonio Spurs,104
249,Mon Nov 25 2019,Oklahoma City Thunder,100,Golden State Warriors,97
250,Tue Nov 26 2019,Los Angeles Clippers,114,Dallas Mavericks,99
251,Tue Nov 26 2019,Washington Wizards,104,Denver Nuggets,117
252,Wed Nov 27 2019,Brooklyn Nets,110,Boston Celtics,121
253,Wed Nov 27 2019,Detroit Pistons,101,Charlotte Hornets,102
254,Wed Nov 27 2019,Orlando Magic,116,Cleveland Cavaliers,104
255,Wed Nov 27 2019,Utah Jazz,102,Indiana Pacers,121
256,Wed Nov 27 2019,Sacramento Kings,91,Philadelphia 76ers,97
257,Wed Nov 27 2019,New York Knicks,98,Toronto Raptors,126
258,Wed Nov 27 2019,Miami Heat,108,Houston Rockets,117
259,Wed Nov 27 2019,Los Angeles Clippers,121,Memphis Grizzlies,119
260,Wed Nov 27 2019,Atlanta Hawks,102,Milwaukee Bucks,111
261,Wed Nov 27 2019,Minnesota Timberwolves,113,San Antonio Spurs,101
262,Wed Nov 27 2019,Washington Wizards,140,Phoenix Suns,132
263,Wed Nov 27 2019,Los Angeles Lakers,114,New Orleans Pelicans,110
264,Wed Nov 27 2019,Oklahoma City Thunder,119,Portland Trail Blazers,136
265,Wed Nov 27 2019,Chicago Bulls,90,Golden State Warriors,104
266,Fri Nov 29 2019,Boston Celtics,107,Brooklyn Nets,112
267,Fri Nov 29 2019,Charlotte Hornets,110,Detroit Pistons,107
268,Fri Nov 29 2019,Toronto Raptors,90,Orlando Magic,83
269,Fri Nov 29 2019,Milwaukee Bucks,119,Cleveland Cavaliers,110
270,Fri Nov 29 2019,Philadelphia 76ers,101,New York Knicks,95
271,Fri Nov 29 2019,Atlanta Hawks,104,Indiana Pacers,105
272,Fri Nov 29 2019,Utah Jazz,103,Memphis Grizzlies,94
273,Fri Nov 29 2019,Golden State Warriors,105,Miami Heat,122
274,Fri Nov 29 2019,New Orleans Pelicans,104,Oklahoma City Thunder,109
275,Fri Nov 29 2019,Los Angeles Clippers,97,San Antonio Spurs,107
276,Fri Nov 29 2019,Dallas Mavericks,120,Phoenix Suns,113
277,Fri Nov 29 2019,Chicago Bulls,103,Portland Trail Blazers,107
278,Fri Nov 29 2019,Washington Wizards,103,Los Angeles Lakers,125
279,Sat Nov 30 2019,Denver Nuggets,97,Sacramento Kings,100
280,Sat Nov 30 2019,Indiana Pacers,116,Philadelphia 76ers,119
281,Sat Nov 30 2019,Atlanta Hawks,111,Houston Rockets,158
282,Sat Nov 30 2019,Charlotte Hornets,96,Milwaukee Bucks,137
283,Sun Dec 1 2019,Miami Heat,109,Brooklyn Nets,106
284,Sun Dec 1 2019,Memphis Grizzlies,115,Minnesota Timberwolves,107
285,Sun Dec 1 2019,Boston Celtics,113,New York Knicks,104
286,Sun Dec 1 2019,Dallas Mavericks,114,Los Angeles Lakers,100
287,Sun Dec 1 2019,San Antonio Spurs,98,Detroit Pistons,132
288,Sun Dec 1 2019,Oklahoma City Thunder,107,New Orleans Pelicans,104
289,Sun Dec 1 2019,Golden State Warriors,96,Orlando Magic,100
290,Sun Dec 1 2019,Utah Jazz,110,Toronto Raptors,130
291,Sun Dec 1 2019,Washington Wizards,125,Los Angeles Clippers,150
292,Mon Dec 2 2019,Phoenix Suns,109,Charlotte Hornets,104
293,Mon Dec 2 2019,Utah Jazz,94,Philadelphia 76ers,103
294,Mon Dec 2 2019,Golden State Warriors,79,Atlanta Hawks,104
295,Mon Dec 2 2019,Indiana Pacers,117,Memphis Grizzlies,104
296,Mon Dec 2 2019,New York Knicks,88,Milwaukee Bucks,132
297,Mon Dec 2 2019,Chicago Bulls,113,Sacramento Kings,106
298,Tue Dec 3 2019,Detroit Pistons,127,Cleveland Cavaliers,94
299,Tue Dec 3 2019,Orlando Magic,127,Washington Wizards,120
300,Tue Dec 3 2019,Dallas Mavericks,118,New Orleans Pelicans,97
301,Tue Dec 3 2019,Miami Heat,121,Toronto Raptors,110
302,Tue Dec 3 2019,Houston Rockets,133,San Antonio Spurs,135
303,Tue Dec 3 2019,Los Angeles Lakers,105,Denver Nuggets,96
304,Tue Dec 3 2019,Portland Trail Blazers,97,Los Angeles Clippers,117
305,Wed Dec 4 2019,Golden State Warriors,91,Charlotte Hornets,106
306,Wed Dec 4 2019,Milwaukee Bucks,127,Detroit Pistons,103
307,Wed Dec 4 2019,Phoenix Suns,114,Orlando Magic,128
308,Wed Dec 4 2019,Brooklyn Nets,130,Atlanta Hawks,118
309,Wed Dec 4 2019,Miami Heat,93,Boston Celtics,112
310,Wed Dec 4 2019,Memphis Grizzlies,99,Chicago Bulls,106
311,Wed Dec 4 2019,Indiana Pacers,107,Oklahoma City Thunder,100
312,Wed Dec 4 2019,Minnesota Timberwolves,114,Dallas Mavericks,121
313,Wed Dec 4 2019,Los Angeles Lakers,121,Utah Jazz,96
314,Wed Dec 4 2019,Sacramento Kings,116,Portland Trail Blazers,127
315,Thu Dec 5 2019,Philadelphia 76ers,113,Washington Wizards,119
316,Thu Dec 5 2019,Denver Nuggets,129,New York Knicks,92
317,Thu Dec 5 2019,Houston Rockets,119,Toronto Raptors,109
318,Thu Dec 5 2019,Phoenix Suns,139,New Orleans Pelicans,132
319,Fri Dec 6 2019,Brooklyn Nets,111,Charlotte Hornets,104
320,Fri Dec 6 2019,Orlando Magic,93,Cleveland Cavaliers,87
321,Fri Dec 6 2019,Indiana Pacers,101,Detroit Pistons,108
322,Fri Dec 6 2019,Denver Nuggets,95,Boston Celtics,108
323,Fri Dec 6 2019,Golden State Warriors,100,Chicago Bulls,98
324,Fri Dec 6 2019,Washington Wizards,103,Miami Heat,112
325,Fri Dec 6 2019,Minnesota Timberwolves,127,Oklahoma City Thunder,139
326,Fri Dec 6 2019,Los Angeles Clippers,91,Milwaukee Bucks,119
327,Fri Dec 6 2019,Sacramento Kings,104,San Antonio Spurs,105
328,Fri Dec 6 2019,Los Angeles Lakers,136,Portland Trail Blazers,113
329,Sat Dec 7 2019,New Orleans Pelicans,84,Dallas Mavericks,130
330,Sat Dec 7 2019,Indiana Pacers,104,New York Knicks,103
331,Sat Dec 7 2019,Cleveland Cavaliers,94,Philadelphia 76ers,141
332,Sat Dec 7 2019,Phoenix Suns,109,Houston Rockets,115
333,Sat Dec 7 2019,Memphis Grizzlies,112,Utah Jazz,126
334,Sun Dec 8 2019,Denver Nuggets,102,Brooklyn Nets,105
335,Sun Dec 8 2019,Atlanta Hawks,122,Charlotte Hornets,107
336,Sun Dec 8 2019,Chicago Bulls,105,Miami Heat,110
337,Sun Dec 8 2019,Toronto Raptors,104,Philadelphia 76ers,110
338,Sun Dec 8 2019,Los Angeles Clippers,135,Washington Wizards,119
339,Sun Dec 8 2019,Sacramento Kings,110,Dallas Mavericks,106
340,Sun Dec 8 2019,Oklahoma City Thunder,108,Portland Trail Blazers,96
341,Sun Dec 8 2019,Minnesota Timberwolves,125,Los Angeles Lakers,142
342,Mon Dec 9 2019,Los Angeles Clippers,110,Indiana Pacers,99
343,Mon Dec 9 2019,Cleveland Cavaliers,88,Boston Celtics,110
344,Mon Dec 9 2019,Toronto Raptors,93,Chicago Bulls,92
345,Mon Dec 9 2019,Sacramento Kings,119,Houston Rockets,118
346,Mon Dec 9 2019,Orlando Magic,101,Milwaukee Bucks,110
347,Mon Dec 9 2019,Detroit Pistons,105,New Orleans Pelicans,103
348,Mon Dec 9 2019,Minnesota Timberwolves,109,Phoenix Suns,125
349,Mon Dec 9 2019,Oklahoma City Thunder,104,Utah Jazz,90
350,Mon Dec 9 2019,Memphis Grizzlies,110,Golden State Warriors,102
351,Tue Dec 10 2019,Washington Wizards,107,Charlotte Hornets,114
352,Tue Dec 10 2019,Atlanta Hawks,121,Miami Heat,135
353,Tue Dec 10 2019,Denver Nuggets,92,Philadelphia 76ers,97
354,Tue Dec 10 2019,New York Knicks,87,Portland Trail Blazers,115
355,Wed Dec 11 2019,Houston Rockets,116,Cleveland Cavaliers,110
356,Wed Dec 11 2019,Boston Celtics,117,Indiana Pacers,122
357,Wed Dec 11 2019,Los Angeles Lakers,96,Orlando Magic,87
358,Wed Dec 11 2019,Los Angeles Clippers,112,Toronto Raptors,92
359,Wed Dec 11 2019,Charlotte Hornets,113,Brooklyn Nets,108
360,Wed Dec 11 2019,Atlanta Hawks,102,Chicago Bulls,136
361,Wed Dec 11 2019,Utah Jazz,127,Minnesota Timberwolves,116
362,Wed Dec 11 2019,Memphis Grizzlies,115,Phoenix Suns,108
363,Wed Dec 11 2019,New Orleans Pelicans,112,Milwaukee Bucks,127
364,Wed Dec 11 2019,Oklahoma City Thunder,93,Sacramento Kings,94
365,Wed Dec 11 2019,New York Knicks,124,Golden State Warriors,122
366,Thu Dec 12 2019,Philadelphia 76ers,115,Boston Celtics,109
367,Thu Dec 12 2019,Cleveland Cavaliers,117,San Antonio Spurs,109
368,Thu Dec 12 2019,Dallas Mavericks,122,Detroit Pistons,111
369,Thu Dec 12 2019,Portland Trail Blazers,99,Denver Nuggets,114
370,Fri Dec 13 2019,Los Angeles Lakers,113,Miami Heat,110
371,Fri Dec 13 2019,Houston Rockets,130,Orlando Magic,107
372,Fri Dec 13 2019,New Orleans Pelicans,109,Philadelphia 76ers,116
373,Fri Dec 13 2019,Indiana Pacers,110,Atlanta Hawks,100
